SOR OMEGA test
Array size = 64 x 64
0.50, 5334, 5477, 6003, 7471, 6715, 6930, 6664, 4440, 5409, 4475
0.51, 3604, 5339, 5684, 6189, 6481, 3007, 5251, 6090, 6370, 7027
0.51, 6575, 2681, 3950, 6081, 2895, 5518, 6196, 4826, 6101, 5801
0.52, 6828, 7128, 6638, 6354, 5475, 5568, 4272, 7201, 4531, 5854
0.52, 7015, 3395, 5960, 6282, 6268, 5383, 6662, 5177, 5775, 7244
0.53, 6630, 3377, 5175, 6001, 6435, 3469, 6687, 4360, 6001, 2915
0.53, 5379, 5486, 4732, 2945, 4881, 4941, 5577, 6254, 6027, 5164
0.54, 4744, 5265, 6630, 5266, 5581, 5792, 4034, 3855, 5819, 5827
0.54, 5981, 4201, 3390, 4914, 6197, 5380, 6189, 7026, 6188, 6200
0.55, 6701, 5597, 6044, 5786, 6361, 6887, 2781, 5877, 4301, 6765
0.55, 7126, 6754, 6178, 5669, 4617, 3868, 6461, 6074, 5664, 4956
0.56, 5194, 4242, 5077, 5920, 5965, 4571, 5042, 4536, 4935, 4547
0.56, 5914, 5892, 4803, 4961, 4052, 5696, 2823, 5654, 5704, 6120
0.57, 5714, 6172, 4270, 5336, 6190, 5906, 4585, 4400, 5519, 5535
0.57, 5052, 5508, 5614, 6162, 3686, 5654, 5248, 5378, 4715, 5606
0.58, 5053, 4691, 2482, 6153, 2877, 2320, 5481, 5665, 6214, 5559
0.58, 3408, 5826, 5142, 5031, 4752, 5586, 4900, 2436, 6153, 4945
0.59, 3555, 4602, 5203, 2217, 5114, 4104, 4109, 5574, 3694, 3796
0.59, 3339, 4463, 5346, 5011, 5697, 5132, 3952, 5091, 5620, 5471
0.60, 5641, 5008, 2613, 5395, 6014, 4881, 5535, 6075, 3992, 4499
0.60, 5373, 4554, 5121, 5307, 5175, 5424, 5148, 5392, 4143, 4748
0.61, 5030, 4448, 4176, 3087, 5399, 2608, 2746, 4137, 5091, 3335
0.61, 3399, 3267, 5193, 5405, 4839, 5479, 2596, 5022, 4427, 4402
0.62, 2507, 2874, 4733, 3699, 5813, 4159, 5252, 5131, 4279, 4901
0.62, 5044, 5067, 4857, 4509, 4910, 4096, 3287, 4140, 5173, 3728
0.63, 3044, 5049, 4001, 3401, 5498, 5259, 3159, 3496, 3976, 4750
0.63, 4072, 4699, 4804, 4226, 2397, 2387, 4584, 4328, 4277, 3749
0.64, 4106, 3959, 3411, 5071, 1981, 4631, 4424, 4985, 3001, 4362
0.64, 4919, 5214, 2734, 3454, 4134, 2245, 4417, 4002, 2742, 4864
0.65, 1901, 3998, 4640, 4522, 4805, 4215, 4709, 4258, 4461, 4634
0.65, 4289, 4128, 4094, 3529, 3595, 3821, 3939, 2902, 4619, 4257
0.66, 4652, 4691, 4488, 4598, 4770, 4066, 3656, 3169, 3624, 3734
0.66, 4696, 4470, 4395, 3771, 2351, 3761, 4065, 3787, 4333, 4443
0.67, 4843, 3728, 2245, 4106, 4867, 3154, 2001, 3743, 4402, 4386
0.67, 3860, 4610, 4389, 3452, 4663, 5078, 5206, 3356, 4830, 4332
0.68, 4308, 3061, 3903, 4224, 3763, 3990, 3398, 4617, 2482, 4357
0.68, 3690, 3184, 3967, 2556, 3730, 4316, 4494, 3588, 4886, 2149
0.69, 4340, 3433, 3895, 4026, 4346, 2087, 2548, 4673, 4477, 3627
0.69, 4144, 3980, 3494, 4148, 4951, 3934, 4676, 3486, 3511, 3156
0.70, 4490, 4242, 3060, 4153, 3557, 3864, 4485, 4293, 3597, 3811
0.70, 3408, 3292, 4017, 2015, 3517, 3892, 4518, 3568, 3010, 3173
0.71, 3804, 1960, 3940, 3513, 4355, 4054, 4393, 3522, 4303, 4347
0.71, 3182, 3869, 4018, 3505, 3882, 3695, 3895, 2520, 2747, 4069
0.72, 4181, 1477, 2538, 3493, 4522, 3111, 4657, 3916, 2572, 4029
0.72, 3414, 2583, 2384, 3651, 4418, 3754, 3773, 3831, 3033, 4135
0.73, 3139, 3501, 2758, 4261, 1969, 3687, 4066, 3893, 2969, 3532
0.73, 2543, 4298, 3022, 3180, 3397, 3099, 3674, 3991, 3051, 2570
0.74, 3458, 3256, 3916, 3719, 2926, 3187, 3039, 3754, 1723, 3337
0.74, 4210, 1484, 2977, 2255, 4080, 3881, 3023, 3685, 3979, 3361
0.75, 4070, 4127, 3050, 3052, 3989, 3939, 4231, 3647, 2874, 1921
0.75, 3689, 3347, 3449, 4101, 2672, 2886, 3438, 4008, 3517, 3214
0.76, 4619, 4259, 3297, 3527, 3799, 3971, 3659, 3890, 3756, 3439
0.76, 2903, 2666, 3100, 2903, 3690, 3876, 2527, 4053, 3346, 1961
0.77, 3124, 3645, 3347, 3386, 2420, 2344, 3520, 2448, 2688, 2093
0.77, 2754, 2294, 3518, 3582, 3947, 3321, 3028, 2692, 3639, 4010
0.78, 2572, 3821, 1704, 2943, 3989, 1937, 3739, 3377, 2848, 3396
0.78, 2671, 2980, 3417, 3182, 2926, 3701, 2197, 2326, 3596, 4032
0.79, 3212, 1414, 3225, 2992, 3729, 3437, 3885, 3373, 2933, 3277
0.79, 2092, 2577, 3114, 2617, 3075, 3754, 2682, 3135, 1973, 2220
0.80, 3184, 3225, 2242, 2989, 2845, 3233, 3525, 3634, 3641, 3321
0.80, 3162, 2739, 2623, 1802, 3752, 2325, 2802, 3269, 3360, 3034
0.81, 3014, 2541, 3272, 2426, 3113, 3382, 3049, 3612, 2385, 2960
0.81, 1513, 1592, 3535, 3664, 2438, 1512, 2921, 2596, 2955, 3193
0.82, 2603, 1522, 2960, 3432, 2809, 3463, 3383, 2533, 3192, 2651
0.82, 1757, 2792, 3008, 2813, 2836, 3752, 2929, 3689, 2810, 3050
0.83, 3162, 2935, 1427, 3404, 3094, 2791, 2354, 3193, 3429, 2956
0.83, 1533, 2572, 3079, 3393, 3344, 3651, 2733, 2270, 2911, 3244
0.84, 3138, 2634, 3354, 2859, 3568, 3132, 2821, 2126, 2483, 2856
0.84, 3155, 2675, 3173, 3592, 2818, 2741, 3430, 2711, 3559, 1986
0.85, 3475, 3350, 3211, 1828, 2880, 2746, 2914, 2944, 3311, 3503
0.85, 3017, 3115, 1605, 3045, 2282, 3476, 3481, 1209, 1462, 2785
0.86, 1638, 3376, 3208, 3237, 3491, 1939, 3492, 2493, 3510, 2745
0.86, 1927, 2257, 2648, 3299, 2103, 3122, 1747, 2607, 2828, 2175
0.87, 1117, 3141, 2897, 2359, 2095, 2401, 3381, 2787, 2683, 1925
0.87, 3184, 3090, 3160, 3235, 2658, 3159, 2418, 3188, 2409, 3028
0.88, 3155, 3094, 2062, 2809, 3237, 3082, 2124, 3356, 3269, 3231
0.88, 1905, 2762, 2965, 2400, 1683, 2090, 3081, 2909, 2792, 2358
0.89, 2755, 2805, 2610, 2447, 2234, 1763, 1364, 2865, 2779, 2652
0.89, 3151, 1176, 2210, 2613, 2950, 3448, 2926, 1771, 2793, 2524
0.90, 2454, 1362, 2019, 2757, 2704, 2707, 2514, 3268, 3094, 3103
