Length of the array = 2048

Initializing the arrays ...	... done


GPU time: 16.662848 (msec)
0:	511.96847534	511.96847534
1:	502.86544800	502.86541748
2:	503.09921265	503.09921265
3:	503.61126709	503.61126709
4:	504.44244385	504.44244385
5:	514.62268066	514.62268066
6:	504.18115234	504.18112183
7:	512.17102051	512.17102051
8:	512.47802734	512.47802734
9:	504.64291382	504.64291382
10:	516.60943604	516.60943604
11:	511.41964722	511.41961670
12:	496.94531250	496.94531250
13:	512.66119385	512.66119385
14:	507.61819458	507.61819458
15:	499.52340698	499.52343750
16:	504.20010376	504.20010376
17:	510.20028687	510.20025635
18:	507.44528198	507.44528198
19:	497.04547119	497.04550171
20:	506.25741577	506.25738525
21:	491.61154175	491.61160278
22:	526.00372314	526.00378418
23:	512.88958740	512.88958740
24:	511.59384155	511.59387207
25:	511.71841431	511.71841431
26:	512.91870117	512.91870117
27:	505.57281494	505.57281494
28:	500.81240845	500.81240845
29:	500.42144775	500.42144775
30:	504.47088623	504.47088623
31:	505.69696045	505.69696045
32:	495.05331421	495.05328369
33:	512.90972900	512.90966797
34:	507.62371826	507.62374878
35:	505.01126099	505.01129150
36:	505.70776367	505.70776367
37:	500.78982544	500.78982544
38:	518.94940186	518.94940186
39:	513.59509277	513.59509277
40:	504.26684570	504.26681519
41:	506.76119995	506.76116943
42:	506.62884521	506.62884521
43:	503.39712524	503.39712524
44:	507.15069580	507.15069580
45:	508.08422852	508.08425903
46:	499.66766357	499.66769409
47:	502.35678101	502.35678101
48:	494.88311768	494.88311768
49:	499.17807007	499.17807007
Time elapsed is 44.190000 seconds
