Length of the array = 1024

Initializing the arrays ...	... done


GPU time: 5.018592 (msec)
0:	260.16702271	260.16702271
1:	264.76211548	264.76211548
2:	256.09481812	256.09481812
3:	259.13980103	259.13980103
4:	260.20260620	260.20260620
5:	262.05215454	262.05215454
6:	263.80471802	263.80471802
7:	259.97232056	259.97232056
8:	258.40426636	258.40426636
9:	262.87518311	262.87515259
10:	268.53280640	268.53280640
11:	256.71725464	256.71725464
12:	260.61993408	260.61993408
13:	256.49404907	256.49404907
14:	263.28805542	263.28805542
15:	254.21157837	254.21157837
16:	255.62844849	255.62844849
17:	258.50457764	258.50457764
18:	254.50840759	254.50839233
19:	257.79989624	257.79989624
20:	257.38311768	257.38311768
21:	253.41467285	253.41468811
22:	260.37518311	260.37515259
23:	264.34384155	264.34384155
24:	260.64489746	260.64489746
25:	257.31823730	257.31823730
26:	266.97552490	266.97552490
27:	263.60006714	263.60009766
28:	256.80285645	256.80288696
29:	256.86828613	256.86828613
30:	261.32543945	261.32543945
31:	254.91474915	254.91474915
32:	257.95822144	257.95822144
33:	260.20166016	260.20166016
34:	251.58848572	251.58848572
35:	252.25143433	252.25141907
36:	257.06524658	257.06524658
37:	265.28146362	265.28146362
38:	259.47805786	259.47805786
39:	252.55696106	252.55696106
40:	264.55999756	264.55999756
41:	269.16696167	269.16696167
42:	266.60421753	266.60421753
43:	254.47082520	254.47082520
44:	266.10586548	266.10586548
45:	259.99789429	259.99792480
46:	258.28851318	258.28851318
47:	256.92730713	256.92727661
48:	249.55557251	249.55557251
49:	244.17973328	244.17974854
Time elapsed is 5.710000 seconds
